Year,Class,Affiliations,Abstract,Keywords,Title,Tropical_disease_type,Machine_learning_techniques,Model,funding_details,funding_text,Authors_Region,Data_Region,Individual_Disease,Tropical_disease_type_cleaned,Tropical_disease_type_remapped,ml_harmonized,ml_result,ml_category
2025,prognosis,Central South University; King Saud University; Ural Federal University; Karpagam Academy of Higher Education (KAHE); Ministry of Education of Azerbaijan Republic; Western Caspian University,"This research conducts a computational analysis of a stochastic scabies model using the Legendre spectral collocation technique (LSCM). By including stochasticity into the model via the suggested stochastic differential equations, we are confiscating the random fluctuations required for disease growth and spread. The stability, convergence, and accurate characteristics of the LSCM are meticulously examined, showcasing its efficacy in addressing complicated epidemiological problems. Furthermore, this mathematical model is used to explain the transmission dynamics of scabies infection in the population with standard incident rate. The dynamics of scabies are illustrated schematically, and then an ordinary differential equation (ODE) is derived using the law of mass action. Positiveness, boundedness, and equilibrium points have been analyzed. Next-generation techniques are used to determine the reproduction number. Sensitivity analysis is also accomplished to investigate the impact of various parameters of reproduction number. Disease-free equilibrium exists asymptotically in local whenever R-0<1. The accuracy and effectiveness of the constructed stochastic computing using neural networks are shown by a comparison of the results derived from the dataset utilizing the spectral collocation approach. Our research demonstrates that mitigating the severe impacts of scabies requires prompt detection and timely intervention. Additionally, our mathematical model serves as a valuable tool for refining disease management strategies. This study enhances our understanding of scabies dynamics, offering actionable insights into public health planning and epidemic control.",MALARIA,Modeling scabies transmission dynamics: a stochastic approach with spectral collocation and neural network insights,Scabies,Supervised learning,Feedforward Neural Network (FFNN),"King Saud University(King Saud University); King Saud University, Riyadh, Saudi Arabia(King Saud University)","Researchers Supporting Project number (RSPD2025R576), King Saud University, Riyadh, Saudi Arabia.","China, Pakistan, Saudi Arabia, Russia, India, Azerbaijan ",nan,Scabies,Scabies,Scabies and other ectoparasitoses,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,treatment monitoring,Taif University,"Rabies remains a significant public health challenge, particularly in areas with substantial dog populations, necessitating a deeper understanding of its transmission dynamics for effective control strategies. This study addressed the complexity of rabies spread by integrating two critical delay effects-vaccination efficacy and incubation duration-into a delay differential equations model, capturing more realistic infection patterns between dogs and humans. To explore the multifaceted drivers of transmission, we applied a novel framework using piecewise derivatives that incorporated singular and non-singular kernels, allowing for nuanced insights into crossover dynamics. The existence and uniqueness of solutions was demonstrated using fixed-point theory within the context of piecewise derivatives and integrals. We employed a piecewise numerical scheme grounded in Newton interpolation polynomials to approximate solutions tailored to handle singular and nonsingular kernels. Additionally, we leveraged artificial neural networks to split the dataset into training, testing, and validation sets, conducting an in-depth analysis across these subsets. This approach aimed to expand our understanding of rabies transmission, illustrating the potential of advanced mathematical tools and machine learning in epidemiological modeling.",TRANSMISSION,Artificial neural networks for stability analysis and simulation of delayed rabies spread models,Rabies,Supervised learning,Artificial Neural Network (ANN),"Taif University, Saudi Arabia(Taif University)","The authors extend their appreciation to Taif University, Saudi Arabia, for supporting this work through project number (TU-DSPP-2024-259) .","Pakistan, Saudi Arabia","Pakistan, Saudi Arabia",Rabies,Rabies,Rabies,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,drug discovery,University of Salamanca; University of Salamanca,"Background: Schistosomiasis impacts over 230 million people globally, with 251.4 million needing treatment. The disease causes intestinal and urinary symptoms, such as hepatic fibrosis, hepatomegaly, splenomegaly, and bladder calcifications. While praziquantel (PZQ) is the primary treatment, its effectiveness against juvenile stages (schistosomula) is limited, highlighting the need for new therapeutic agents, repurposed drugs, or reformulated compounds. Existing microscopy methods for assessing schistosomula viability are labor-intensive, subjective, and time-consuming. Methods: An artificial intelligence (AI)-assisted culture system using YOLOv5 was developed to evaluate compounds against Schistosoma mansoni schistosomula. The AI model, based on object detection, was trained on 4390 images distinguishing between healthy and damaged schistosomula. The system was externally validated against human counters, and a small-scale assay was performed to demonstrate its potential for larger-scale assays in the future. Results: The AI model exhibited high accuracy, achieving a mean average precision (mAP) of 0.966 (96.6%) and effectively differentiating between healthy and damaged schistosomula. External validation demonstrated significantly improved accuracy and counting time compared to human counters. A small-scale assay was conducted to validate the system, identifying 28 potential compounds with schistosomicidal activity against schistosomula in vitro and providing their preliminary LC50 values. Conclusions: This AI-powered method significantly improves accuracy and time efficiency compared to traditional microscopy. It enables the evaluation of compounds for potential schistosomiasis drugs without the need for dyes or specialized equipment, facilitating more efficient drug assessment.",DISCOVERY; DIAGNOSIS,Development and Application of an In Vitro Drug Screening Assay for Schistosoma mansoni Schistosomula Using YOLOv5,Schistosomiasis,Supervised learning, YOLOv5,"Doctoral Fellowship Program of Junta de Castilla y Leon; Fondo Social Europeo(European Social Fund (ESF)); Ministerio de Ciencia, Innovacion y Universidades (MCIN) funds; Instituto de Salud Carlos III(Instituto de Salud Carlos IIISpanish Government); MCIN/AEI; European Union(European Union (EU))","This paper was funded by the Doctoral Fellowship Program of Junta de Castilla y Leon co-funded by Fondo Social Europeo (M.A.V.-M.: Resolucion ORDEN EDU/1868/2022, J.S.-M.: Resolucion ORDEN EDU/875/2021, M.M.: Resolucion ORDEN EDU/601/2020). Ministerio de Ciencia, Innovacion y Universidades (MCIN) funds N.F.-C.: FPU22/04097. Instituto de Salud Carlos III grant PI22/01721 (A.M., J.L.-A.), MCIN/AEI/doi 10.13039/501100011033 co-founded by the European Union, grant PID2022-136462NB-I00 (A.M., B.V.) and MCIN/AEI/doi 10.13039/501100011033 co-founded by European Union grant PID2021-127471OB-I00 (J.L.-A., R.P.) Rafael Pelaez (R.P.) is the Principal Researcher of the project PID2021-127471OB-I00. All authors have read and agreed to the published version of the manuscript.",Spain,Spain,Schistosomiasis,Schistosomiasis,Schistosomiasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,prognosis,Ehime University; Ehime University; De La Salle University,"Background Spatiotemporal dengue forecasting using machine learning (ML) can contribute to the development of prevention and control strategies for impending dengue outbreaks. However, training data for dengue incidence may be inflated with frequent zero values because of the rarity of cases, which lowers the prediction accuracy. This study aimed to understand the influence of spatiotemporal resolutions of data on the accuracy of dengue incidence prediction using ML models, to understand how the influence of spatiotemporal resolution differs between quantitative and qualitative predictions of dengue incidence, and to improve the accuracy of dengue incidence prediction with zero-inflated data.Methodology We predicted dengue incidence at six spatiotemporal resolutions and compared their prediction accuracy. Six ML algorithms were compared: generalized additive models, random forests, conditional inference forest, artificial neural networks, support vector machines and regression, and extreme gradient boosting. Data from 2009 to 2012 were used for training, and data from 2013 were used for model validation with quantitative and qualitative dengue variables. To address the inaccuracy in the quantitative prediction of dengue incidence due to zero-inflated data at fine spatiotemporal scales, we developed a hybrid approach in which the second-stage quantitative prediction is performed only when/where the first-stage qualitative model predicts the occurrence of dengue cases.Principal findings At higher resolutions, the dengue incidence data were zero-inflated, which was insufficient for quantitative pattern extraction of relationships between dengue incidence and environmental variables by ML. Qualitative models, used as binary variables, eased the effect of data distribution. Our novel hybrid approach of combining qualitative and quantitative predictions demonstrated high potential for predicting zero-inflated or rare phenomena, such as dengue.Significance Our research contributes valuable insights to the field of spatiotemporal dengue prediction and provides an alternative solution to enhance prediction accuracy in zero-inflated data where hurdle or zero-inflated models cannot be applied. In our study, we tackled the complex challenge of predicting dengue fever outbreaks, a crucial task in the field of epidemiology. Dengue prediction is complicated because it relies on the quality of data, which may be affected by the temporal and spatial resolution. We explored different machine learning algorithms across various spatial (village, city and region) and temporal resolutions (weekly and monthly). A key hurdle we encountered was the high frequency of zero values in reported dengue cases, a common issue known as zero-inflated data. This phenomenon makes accurate predictions difficult, especially at finer resolutions. To overcome this obstacle, we first made qualitative predictions about the presence or absence of dengue cases. Then, in scenarios indicating disease presence, we estimated the magnitude of cases quantitatively. This innovative method we designated as hybrid approach and significantly enhanced prediction accuracy in zero-inflated data. This approach can be applied to continuous data where zero-inflated or hurdle models cannot be applied. Our findings have broader implications beyond dengue prediction, shedding light on the challenges of dealing with zero-inflated data in various real-world situations. By improving our understanding of these complexities, our research contributes valuable insights that not only benefit scientists working in epidemiology but also have practical applications in public health strategies ensuring more effective and targeted interventions.",SPATIAL-RESOLUTION; REGRESSION,Hybrid Machine Learning Approach to Zero-Inflated Data Improves Accuracy of Dengue Prediction,Dengue,Supervised learning,"- Random Forest (RF)
- Conditional Inference Forest (CIF)
- Artificial Neural Network (ANN)
- Support Vector Machines/Regression (SVM/SVR)
- Extreme Gradient Boosting (XGB)
- Generalized Additive Models (GAM)","Japan Society for the Promotion of Science (JSPS)(Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science); JSPS(Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science); Endowed Chair Program of the Sumitomo Electric Industries Group Corporate Social Responsibility Foundation","This study was financially supported by the Japan Society for the Promotion of Science (JSPS) Grant-in-Aid Fund for the Promotion of Joint International Research (Fostering Joint International Research (B)) under grant number 19KK0107, JSPS Grant-in-Aid for Scientific Research (A) under grant number 19H01144, the JSPS Core-to-Core Program B. Asia-Africa Science Platforms, and the Endowed Chair Program of the Sumitomo Electric Industries Group Corporate Social Responsibility Foundation to KW. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Japan, Mozambique, Philippines",Philippines,Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2024,diagnosis,National University of Sciences & Technology - Pakistan; University of Eastern Finland,"Background: There is a dire need for the establishment of active dengue surveillance to continuously detect cases, circulating serotypes, and determine the disease burden of dengue fever (DF) in the country and region. Predicting dengue PCR results using machine learning (ML) models represents a significant advancement in pre-emptive healthcare measures. This study outlines the comprehensive process of data preprocessing, model selection, and the underlying mechanisms of each algorithm employed to accurately predict dengue PCR outcomes.Methods: We analyzed data from 300 suspected dengue patients in Islamabad and Rawalpindi, Pakistan, from August to October 2023. NS1 antigen ELISA, IgM and IgG antibody tests, and serotype-specific real-time polymerase chain reaction (RT-PCR) were used to detect the dengue virus (DENV). Representative PCR-positive samples were sequenced by Sanger sequencing to confirm the circulation of various dengue serotypes. Demographic information, serological test results, and hematological parameters were used as inputs to the ML models, with the dengue PCR result serving as the output to be predicted. The models used were logistic regression, XGBoost, LightGBM, random forest, support vector machine (SVM), and CatBoost.Results: Of the 300 patients, 184 (61.33%) were PCR positive. Among the total positive cases detected by PCR, 9 (4.89%), 171 (92.93%), and 4 (2.17%) were infected with serotypes 1, 2, and 3, respectively. A total of 147 (79.89%) males and 37 (20.11%) females were infected, with a mean age of 33 +/- 16 years. In addition, the mean platelet and leukocyte counts and the hematocrit percentages were 75,447%, 4189.02%, and 46.05%, respectively. The SVM was the best-performing ML model for predicting RT-PCR results, with 71.4% accuracy, 97.4% recall, and 71.6% precision. Hyperparameter tuning improved the recall to 100%.Conclusion: Our study documents three circulating serotypes in the capital territory of Pakistan and highlights that the SVM outperformed other models, potentially serving as a valuable tool in clinical settings to aid in the rapid diagnosis of DF.",,Support Vector Machine Outperforms Other Machine Learning Models in Early Diagnosis of Dengue Using Routine Clinical Data,Dengue,Supervised learning,SVM,,,"Pakistan, Finland",Pakistan,Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,diagnosis,Universidad Nacional Autonoma de Mexico; Universidad Autonoma de Baja California,"The use of artificial intelligence has shown good performance in the medical imaging area, in particular the deep learning methods based on convolutional neural networks for classification, detection, and/or segmentation tasks. The task addressed in this research work is the segmentation of amastigote nests from histological microphotographs in the study of Trypanosoma cruzi infection (Chagas disease) implementing a U-Net convolutional network architecture. For the nests' segmentation, a U-Net architecture was trained on histological images of an acute-stage murine experimental model performing a 5-fold cross-validation, while the final tests were carried out with data unseen by the U-Net from three image groups of different experimental models. During the training stage, the obtained results showed an average accuracy of 98.19 +/- 0.01, while in the case of the final tests, an average accuracy of 99.9 +/- 0.1 was obtained for the control group, as well as 98.8 +/- 0.9 and 99.1 +/- 0.8 for two infected groups; in all cases, high sensitivity and specificity were observed in the results. We can conclude that the use of a U-Net architecture proves to be a relevant tool in supporting the diagnosis and analysis of histological images for the study of Chagas disease.",CHAGAS-DISEASE,Deep Learning-Based Segmentation of Trypanosoma cruzi Nests in Histopathological Images,Chagas disease,Supervised learning,	U-Net,UNAM-PAPIIT Programs,This work was supported by UNAM-PAPIIT Programs IT101422 and IA104622. The APC was funded by IT101422.,Mexico,Mexico city,Chagas disease,Chagas disease,Chagas disease,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2022,diagnosis,Universidade Federal de Minas Gerais; Universidade Federal de Minas Gerais; Universidade Federal de Minas Gerais,"One of the biggest concerns in the area of public health is caused by human intestinal parasites, which are found largely in tropical countries. The diagnosis of these parasitic diseases is done through physiological symptoms and fecal examination. Often, few professionals are available and able to perform this type of examination, which is considered time-consuming, requires trained personnel, prone to errors, and can cause eye strain in the specialist. In this paper, we investigate the use of the faster R-CNN object detection method to identify eggs of Schistosoma mansoni, forming a system to aid decision making in the diagnosis of fecal examination. A real database was built with 66 images prepared by the Kato-Katz method. Online and offline data augmentation techniques were used to obtain a larger number of samples. As a result, the proposed solution reached an average precision value of 0.765 for an IoU (intersection over union) of 0.50. The results and applicability of the system are promising and may be used in public health programs to assist health professionals in the diagnosis and monitoring of schistosomiasis in endemic areas.",HUMAN PARASITE EGGS; MANSONI; CLASSIFICATION,Automated diagnosis of schistosomiasis by using faster R-CNN for egg detection in microscopy images prepared by the Kato-Katz technique,Schistosomiasis,Supervised learning,"Faster R-CNN, ResNet152",,,Brazil,Brazil,Schistosomiasis,Schistosomiasis,Schistosomiasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2022,diagnosis,Universidade Estadual de Campinas,"This study aims to assess dengue fever risk using Machine Learning techniques, such as logistic regressions, linear discriminant analyses, Naive Bayes, decision tree, and random forest classifiers. This kind of approach to epidemiological problems has been developed to detect risks for diseases occurrence and allows to create public policies based on mathematical models to prevent public health problems. In this study, the models were trained with data from the municipality of Sao Luis do Maranhao, state of Maranhao, Brazil. The majority of related works analyze states, countries, or continental levels, with greater availability of data. To apply the approach to such a small region, some oversampling techniques were used. The number of cases per neighborhood from 2014 to and 2020 and climatic, territorial, and environmental data was used as input variables to estimate the probability of dengue occurrence in the municipality. Due to the unbalanced database, we used the SMOTE, ADASYN, and DBSMOTE oversampling techniques. The DBSMOTE-trained Random Forest classifier achieved the best results with a 75.1% AUC, 75.43% sensitivity and a 60.53% specificity.",VIRUS-DISEASE; ZIKA VIRUS; SPREAD; AFRICA,Machine learning algorithms for dengue risk assessment: a case study for Sao Luis do Maranhao,Dengue,Supervised learning,"Logistic Regression, Linear Discriminant Analysis, Naive Bayes, Decision Tree, Random Forest",Brazilian agency CAPES(Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES)),This work was supported by the Brazilian agency CAPES (Grant no. 88887.486268/2020-00).,Brazil,Brazil,Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2021,prognosis,Symbiosis International University; Symbiosis Institute of Technology (SIT),"For forecasting the spread of dengue, monitoring climate change and its effects specific to the disease is necessary. Dengue is one of the most rapidly spreading vector-borne infectious diseases. This paper proposes a forecasting model for predicting dengue incidences considering climatic variability across nine cities of Maharashtra state of India over 10 years. The work involves the collection of five climatic factors such as mean minimum temperature, mean maximum temperature, relative humidity, rainfall, and mean wind speed for 10 years. Monthly incidences of dengue for the same locations are also collected. Different regression models such as random forest regression, decision trees regression, support vector regress, multiple linear regression, elastic net regression, and polynomial regression are used. Time-series forecasting models such as holt's forecasting, autoregressive, Moving average, ARIMA, SARIMA, and Facebook prophet are implemented and compared to forecast the dengue outbreak accurately. The research shows that humidity and mean maximum temperature are the major climate factors and exhibit strong positive and negative correlation, respectively, with dengue incidences for all locations of Maharashtra state. Mean minimum temperature and rainfall are moderately positively correlated with dengue incidences. Mean wind speed is a less significant factor and is weakly negatively correlated with dengue incidences. Root mean square error (RMSE), mean absolute error (MAE), and R square error (R-2) evaluation metrics are used to compare the performance of the prediction model. Random Forest Regression is the best-fit regression model for five out of nine cities, while Support Vector Regression is for two cities. Facebook Prophet Model is the best fit time series forecasting model for six out of nine cities. Based on the prediction, Mumbai, Thane, Nashik, and Pune are the high-risk regions, especially in August, September, and October. The findings exhibit an effective early warning system that would predict the outbreak of other infectious diseases. It will help the relevant authorities to take accurate preventive measures.",DISEASE SURVEILLANCE; SYSTEM,Forecasting Dengue Hotspots Associated With Variation in Meteorological Parameters Using Regression and Time Series Models,Dengue,Supervised learning,"Regression: Random Forest, Support Vector Regression, Decision Tree, Multiple Linear Regression, ElasticNet, Polynomial Regression
Time-Series: AR, MA, ARIMA, SARIMA, Facebook Prophet",,,India,"Maharashtra, India",Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2020,disease surveillance,Yale University; Yale University; Yale University; Yale University; National Institute of Mental Health & Neurosciences - India; Yale University,"Author summary Mosquitoes carry many globally important human pathogens including a family of related viruses: dengue virus, West Nile virus, Yellow Fever virus, and recently of critical significance, Zika virus. The Zika virus epidemic emerged very rapidly in the susceptible South American population and in many cases immune responses were unable to control the infection. Immune history is a key element of susceptibility or resistance to severe disease. We examined whether pre-existing infection would skew or divert immune resources and might play a role in the severity of Zika infection in the Americas. Using samples from dengue patients and healthy controls from India, we tested functional responses to Zika virus in the context of pre-existing dengue infection. We quantified frequency and functional status of 36 individual cell subsets in depth using advanced profiling techniques and a novel deep learning algorithm. We showed an intact response to new infection with Zika virus which was enriched for early innate immune pathways and robust even during existing dengue infection. Thus, our study suggests that concurrent dengue infection would not be expected to impair immune responses to new infection with Zika virus. The genus Flavivirus contains many mosquito-borne human pathogens of global epidemiological importance such as dengue virus, West Nile virus, and Zika virus, which has recently emerged at epidemic levels. Infections with these viruses result in divergent clinical outcomes ranging from asymptomatic to fatal. Myriad factors influence infection severity including exposure, immune status and pathogen/host genetics. Furthermore, pre-existing infection may skew immune pathways or divert immune resources. We profiled immune cells from dengue virus-infected individuals by multiparameter mass cytometry (CyTOF) to define functional status. Elevations in IFN beta were noted in acute patients across the majority of cell types and were statistically elevated in 31 of 36 cell subsets. We quantified response to in vitro (re)infection with dengue or Zika viruses and detected a striking pattern of upregulation of responses to Zika infection by innate cell types which was not noted in response to dengue virus. Significance was discovered by statistical analysis as well as a neural network-based clustering approach which identified unusual cell subsets overlooked by conventional manual gating. Of public health importance, patient cells showed significant enrichment of innate cell responses to Zika virus indicating an intact and robust anti-Zika response despite the concurrent dengue infection.",WEST-NILE-VIRUS; CD8 T-CELLS; SYSTEMS IMMUNOLOGY; CUMULATIVE INCIDENCE; UNITED-STATES; INFECTION; ANTIBODIES; SUSCEPTIBILITY; TRANSMISSION; ENHANCEMENT,Single cell immune profiling of dengue virus patients reveals intact immune responses to Zika virus with enrichment of innate immune signatures,Dengue,Unsupervised learning,"Clusteting, UMAP, PCA","NIH(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Indo-U.S. Vaccine Action Program; Claude D. Pepper Older Americans Independence Center from the NIH/NIA; Department of Biotechnology, Government of India(Department of Biotechnology (DBT) India)","This work was supported in part by awards from the NIH (AI089992 to YZ, MA, BVW, BG, DvD, KM, XW, AM, MEC, EF, SHK, SK, RRM), the Indo-U.S. Vaccine Action Program (MMR, PK, XW, RRM), the Claude D. Pepper Older Americans Independence Center from the NIH/NIA (P30AG021342 to BVW), and Department of Biotechnology, Government of India (BT/MB/Indo-US/HIPC/02/2013 to MMK, AD, JS, MMV, VR). EF is an Investigator of the Howard Hughes Medical Institute. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","United States, Singapore, Brazil, Thailand","Brazil, Thailand, Singapore",Dengue,Dengue,Dengue and chikungunya,Unsupervised Learning,{'ml_category': 'Unsupervised'},Unsupervised
