Year,Class,Affiliations,Abstract,Keywords,Title,Tropical_disease_type,Machine_learning_techniques,ml,Model,funding_details,funding_text,Authors_Region,Data_Region,Tropical_disease_type_clean,Tropical_disease_type_list
2025,prognosis,National University of Sciences & Technology - Pakistan; University of Tabuk,"It is quite challenging to discover the imminent infection producing areas to determine the spreading pattern of the epidemic and adopt a counter strategy to combat the outbreak in a timely manner. Therefore, this paper explores the executive perspective to examine the infrastructure systems, such as street networks, to support the continuity of administrative operations essential to controlling the spread of an epidemic. We achieve this by application of optimization-oriented and unsupervised machine learning methods that assemble analysis and decision-making practices into a data-driven model. First, the proposed model analyzes the infection triggering areas at the street-segment level to implement the smart lockdown (street intervention mechanism). The model then suggests to deliberately closing the streets in such a way that only a minimal number of additional streets should be selected to ensure the safety margins against the epidemic. We achieve this by identifying the critical pathways between the affected streets through shortest path analysis. This enables an instinctive assessment of the path of movement between the immediate vicinity of the affected streets. The proposed model thus increases the ability of the managing authorities to implement the resilience plans in a shorter time, so that the unplanned infrastructure can withstand the catastrophic event that it could suffer. We use the efficiency measure to substantiate the proposed model. The evaluations show that the suggestions produced by the proposed model are far more robust and efficient.",DENGUE-FEVER TRANSMISSION; SPREAD; DISEASE,A novel smart street intervention mechanism using clustering-based path optimization for street networks,Covid-19,Unsupervised,ml,DBSCAN (Density-Based Spatial Clustering of Applications with Noise),,,"Pakistan, Saudi Arabia",Pakistan,Covid19,['Covid19']
2025,prognosis,University of Bergen; University of Bergen; University of Bergen; University of Bergen,"Accumulation modelling uses machine learning to discover the dynamics by which systems acquire discrete features over time. Many systems of biomedical interest show such dynamics: from bacteria acquiring resistances to sets of drugs, to patients acquiring symptoms during the course of progressive disease. Existing approaches for accumulation modelling are typically limited either in the number of features they consider or their ability to characterise interactions between these features - a limitation for the large-scale genetic and/or phenotypic datasets often found in modern biomedical applications. Here, we demonstrate how clustering can make such large-scale datasets tractable for powerful accumulation modelling approaches. Clustering resolves issues of sparsity and high dimensionality in datasets, but complicates the intepretation of the inferred dynamics, especially if observations are not independent. Focussing on hypercubic hidden Markov models (HyperHMM), we introduce several approaches for interpreting, estimating, and bounding the results of the dynamics in these cases and discuss how biomedical insight could be gained from such analyses. We demonstrate this 'Cluster-based HyperHMM' (CHyperHMM) pipeline for synthetic data, clinical data on disease progression in severe malaria, and genomic data for anti-microbial resistance evolution in Klebsiella pneumoniae, reflecting two global health threats.",INFERENCE; NUMBER,Clustering Large-Scale Biomedical Data to Model Dynamic Accumulation Processes in Disease Progression and Anti-Microbial Resistance Evolution,"Malaria, Anti-Microbial Resistance (AMR)",Unsupervised,ml,"Hypercubic Hidden Markov Model (HyperHMM): A stochastic model for feature accumulation dynamics.

k-means clustering: Used for dimensionality reduction of large-scale biomedical data.",Trond Mohn Foundation Project HyperEvol through the Centre for Antimicrobial Resistance in Western Norway (CAMRIA); European Research Council (ERC) under European Union(European Research Council (ERC)),"This work was supported in part by the Trond Mohn Foundation Project HyperEvol through the Centre for Antimicrobial Resistance in Western Norway (CAMRIA) under Grant TMS2021TMT09 and Grant TMS2020TMT11, and in part by European Research Council (ERC) under European Union's Horizon 2020 Research and Innovation Programme [Evolution and Control of Bioenergetic Organelles (EvoConBiO)] under Grant 805046.",Norway,"Gambia (Royal Victoria Teaching Hospital, Banjul), AMR Klebsiella, Global, with isolates from Africa, Americas, Asia, Europe, Oceania","Malaria, AntiMicrobial Resistance (AMR)","['Malaria', ' AntiMicrobial Resistance (AMR)']"
2025,diagnosis,University of Central Venezuela; Simon Bolivar University; Venezuelan Institute Science Research,"Accurate malaria diagnosis with precise identification of Plasmodium species is crucial for an effective treatment. While microscopy is still the gold standard in malaria diagnosis, it relies heavily on trained personnel. Artificial intelligence (AI) advances, particularly convolutional neural networks (CNNs), have significantly improved diagnostic capabilities and accuracy by enabling the automated analysis of medical images. Previous models efficiently detected malaria parasites in red blood cells but had difficulty differentiating between species. We propose a CNN-based model for classifying cells infected by P. falciparum, P. vivax, and uninfected white blood cells from thick blood smears. Our best-performing model utilizes a seven-channel input and correctly predicted 12,876 out of 12,954 cases. We also generated a cross-validation confusion matrix that showed the results of five iterations, achieving 63,654 out of 64,126 true predictions. The model's accuracy reached 99.51%, a precision of 99.26%, a recall of 99.26%, a specificity of 99.63%, an F1 score of 99.26%, and a loss of 2.3%. We are now developing a system based on real-world quality images to create a comprehensive detection tool for remote regions where trained microscopists are unavailable.",,Deep learning-based malaria parasite detection: convolutional neural networks model for accurate species identification of Plasmodium falciparum and Plasmodium vivax,Malaria,Supervised learning,ml,CNN,,,Venezuela,Bangladesh,Malaria,['Malaria']
2025,prognosis,Central South University; King Saud University; Ural Federal University; Karpagam Academy of Higher Education (KAHE); Ministry of Education of Azerbaijan Republic; Western Caspian University,"This research conducts a computational analysis of a stochastic scabies model using the Legendre spectral collocation technique (LSCM). By including stochasticity into the model via the suggested stochastic differential equations, we are confiscating the random fluctuations required for disease growth and spread. The stability, convergence, and accurate characteristics of the LSCM are meticulously examined, showcasing its efficacy in addressing complicated epidemiological problems. Furthermore, this mathematical model is used to explain the transmission dynamics of scabies infection in the population with standard incident rate. The dynamics of scabies are illustrated schematically, and then an ordinary differential equation (ODE) is derived using the law of mass action. Positiveness, boundedness, and equilibrium points have been analyzed. Next-generation techniques are used to determine the reproduction number. Sensitivity analysis is also accomplished to investigate the impact of various parameters of reproduction number. Disease-free equilibrium exists asymptotically in local whenever R-0<1. The accuracy and effectiveness of the constructed stochastic computing using neural networks are shown by a comparison of the results derived from the dataset utilizing the spectral collocation approach. Our research demonstrates that mitigating the severe impacts of scabies requires prompt detection and timely intervention. Additionally, our mathematical model serves as a valuable tool for refining disease management strategies. This study enhances our understanding of scabies dynamics, offering actionable insights into public health planning and epidemic control.",MALARIA,Modeling scabies transmission dynamics: a stochastic approach with spectral collocation and neural network insights,Scabies,Supervised learning,ml,Feedforward Neural Network (FFNN),"King Saud University(King Saud University); King Saud University, Riyadh, Saudi Arabia(King Saud University)","Researchers Supporting Project number (RSPD2025R576), King Saud University, Riyadh, Saudi Arabia.","China, Pakistan, Saudi Arabia, Russia, India, Azerbaijan ",,Scabies,['Scabies']
2025,prognosis,Seoul National University (SNU); Kangwon National University; Seoul National University (SNU); Seoul National University (SNU); Yonsei University; Yonsei University Health System; Seoul National University (SNU); Chungbuk National University,"Since a resurgence occurred in 1993, malaria has remained an endemic disease in the Republic of Korea (ROK). A major challenge is the inaccessibility of current vector mosquito abundance data due to a 2-week reporting delay, which limits timely implementation of control measures. We aimed to nowcast mosquito abundance and assess its utility by evaluating the predictive value of mosquito abundance for malaria epidemic peaks. We used machine learning models to nowcast mosquito abundance, employing gradient boosting models (GBMs), extreme gradient boosting (XGB), and an ensemble model combining both. Various meteorological factors served as predictors. The models were trained with data from mosquito collection sites between 2009 and 2021 and tested with data from 2022. To evaluate the utility of nowcasting, we calculated the effective reproduction number (Rt), which can indicate malaria epidemic peaks. Generalized linear models (GLMs) were then used to assess the impact of vector mosquito abundance on Rt. The ensemble models demonstrated the best performance in nowcasting mosquito abundance, with a root mean square error (RMSE) of 0.90 and R-squared value (R-2) value of 0.85. The GBM model showed an RMSE of 0.91 and R-2 of 0.84, while the XGB model had an RMSE of 0.92 and R-2 of 0.85. Additionally, the R-2 of the GLMs predicting Rt using mosquito abundance 2 weeks in advance was >0.72 for all provinces. The mosquito abundance coefficients were also significant. We constructed reliable models to nowcast mosquito abundance. These outcomes could potentially be incorporated into a malaria early warning system. Our study provides evidence to support the development of malaria management strategies in regions where malaria remains a public health challenge.",DYNAMICS,Nowcasting Vector Mosquito Abundance and Determining Its Association With Malaria Epidemics in South Korea,Malaria,Supervised learning,ml,"- Gradient Boosting Machine (GBM)
- Extreme Gradient Boosting (XGB)
- Ensemble model combining GBM and XGB
- Generalized Linear Models (GLM) for predicting malaria Rt",Korea Disease Control and Prevention Agency,This research was supported by a National Research Foundation of Korea (NRF) grant funded by the Korea government (MSIT) (Grant NRF-2021R1C1C2012611). This study was also supported by the Korea Disease Control and Prevention Agency (Grant 6300-6331-311).,"South Korea, Peru ",South Korea,Malaria,['Malaria']
2025,diagnosis,Kerman University of Medical Sciences; Kerman University of Medical Sciences; Kerman University of Medical Sciences; Graduate University of Advanced Technology,"Cutaneous leishmaniasis (CL) remains a significant global public health disease, with the critical distinction and exact detection between responsive and unresponsive cases dictating treatment strategies and patient outcomes. However, image-based methods for differentiating these groups are unexplored. This study addresses this gap by developing a deep learning (DL) model utilizing transfer learning to automatically identify responses in CL lesions. A dataset of 102 lesion images (51 per class; equally distributed across train, test, and validation sets) is employed. The DenseNet161, VGG16, and ResNet18 networks, pretrained on a massive image dataset, are fine-tuned for our specific task. The models achieved an accuracy of 76.47%, 73.53%, and 55.88% on the test data, respectively, with a sensitivity of 80%, 75%, and 100% and specificity of 73.68%, 72.22%, and 53.12%, individually. Transfer learning successfully addressed the limited sample size challenge, demonstrating the models' potential for real-world application. This work underscores the significance of automated response detection in CL, paving the way for treatment and improved patient outcomes. While acknowledging limitations like the sample size, the need for collaborative efforts is emphasized to expand datasets and further refine the model. This approach stands as a beacon of hope in the contest against CL, illuminating the path toward a future where data-driven diagnostics guide effective treatment and alleviate the suffering of countless patients. Moreover, the study could be a turning point in eliminating this important global public health and widespread disease.",IRAN,Unlocking Responsive and Unresponsive Signatures: A Transfer Learning Approach for Automated Classification in Cutaneous Leishmaniasis Lesions,Cutaneous Leishmaniasis,Supervised learning,ml,"CNN(DenseNet161, VGG16, ResNet18)",Kerman University of Medical Sciences(Kerman University of Medical Sciences),We would like to thank the patients for their cooperation and the health personnel at Dadbin Health Clinic for their help in conducting this study.,Iran,Iran,Cutaneous Leishmaniasis,['Cutaneous Leishmaniasis']
2025,diagnosis,Chaim Sheba Medical Center; Tel Aviv University; Chaim Sheba Medical Center; Chaim Sheba Medical Center; Chaim Sheba Medical Center,"Background Febrile illness in returned travellers presents a diagnostic challenge in non-endemic settings. Chat generative pretrained transformer (ChatGPT) has the potential to assist in medical tasks, yet its diagnostic performance in clinical settings has rarely been evaluated. We conducted a validation assessment of ChatGPT-4o's performance in the workup of fever in returning travellers.Methods We retrieved the medical records of returning travellers hospitalized with fever during 2009-2024. Their clinical scenarios at time of presentation to the emergency department were prompted to ChatGPT-4o, using a detailed uniform format. The model was further prompted with four consistent questions concerning the differential diagnosis and recommended workup. To avoid training, we kept the model blinded to the final diagnosis. Our primary outcome was ChatGPT-4o's success rates in predicting the final diagnosis when requested to specify the top three differential diagnoses. Secondary outcomes were success rates when prompted to specify the single most likely diagnosis, and all necessary diagnostics. We also assessed ChatGPT-4o as a predicting tool for malaria and qualitatively evaluated its failures.Results ChatGPT-4o predicted the final diagnosis in 68% [95% confidence interval (CI) 59-77%], 78% (95% CI 69-85%) and 83% (95% CI 74-89%) of the 114 cases, when prompted to specify the most likely diagnosis, top three diagnoses and all possible diagnoses, respectively. ChatGPT-4o showed a sensitivity of 100% (95% CI 93-100%) and a specificity of 94% (95% CI 85-98%) for predicting malaria. The model failed to provide the final diagnosis in 18% (20/114) of cases, primarily by failing to predict globally endemic infections (16/21, 76%).Conclusions ChatGPT-4o demonstrated high diagnostic accuracy when prompted with real-life scenarios of febrile returning travellers presenting to the emergency department, especially for malaria. Model training is expected to yield an improved performance and facilitate diagnostic decision-making in the field.",EPIDEMIOLOGY,Performance of ChatGPT-4o in the diagnostic workup of fever among returning travellers requiring hospitalization: a validation study,"â Malaria (P. falciparum, P. vivax, etc.)
â Dengue, Typhoid fever, Influenza, Leptospirosis, etc.",Supervised learning,ml,ChatGPT-4o,,,Israel,Israel,"â Malaria (P. falciparum, P. vivax, etc.),â Dengue, Typhoid fever, Influenza, Leptospirosis, etc.","['â\x80\x93 Malaria (P. falciparum', ' P. vivax', ' etc.)', 'â\x80\x93 Dengue', ' Typhoid fever', ' Influenza', ' Leptospirosis', ' etc.']"
2024,prognosis,University of Tulsa; University of Wisconsin System; Oklahoma State University System; Oklahoma State University - Stillwater; Istinye University,"During a pandemic, medical specialists have substantial challenges in discovering and validating new disease risk factors and designing effective treatment strategies. Traditionally, this approach entails several clinical studies and trials that might last several years, during which strict preventive measures are enforced to manage the outbreak and limit the death toll. Advanced data analytics technologies, on the other hand, could be utilized to monitor and expedite the procedure. This research integrates evolutionary search algorithms, Bayesian belief networks, and innovative interpretation techniques to provide a comprehensive exploratory-descriptive-explanatory machine learning methodology to assist clinical decision-makers in responding promptly to pandemic scenarios. The proposed approach is illustrated through a case study in which the survival of COVID-19 patients is determined using inpatient and emergency department (ED) encounters from a real-world electronic health record database. Following an exploratory phase in which genetic algorithms are used to identify a set of the most critical chronic risk factors and their validation using descriptive tools based on the concept of Bayesian Belief Nets, the framework develops and trains a probabilistic graphical model to explain and predict patient survival (with an AUC of 0.92). Finally, a publicly available online, probabilistic decision support inference simulator was constructed to facilitate what-if analysis and aid general users and healthcare professionals in interpreting model findings. The results widely corroborate intensive and expensive clinical trial research assessments.",FEATURE-SELECTION; ZIKA VIRUS; COVID-19; METAANALYSIS; PERFORMANCE; VALIDATION; MORTALITY; INFLUENZA; OUTCOMES; DEATH,A Bayesian belief network-based analytics methodology for early-stage risk detection of novel diseases,COVID-19,Supervised learning,ml,"- Genetic Algorithm  for feature selection
- Bayesian Belief Network â specifically a Tree-Augmented NaÃ¯ve Bayes (TAN) structure",,,"USA, Turkey",United States,COVID19,['COVID19']
2024,diagnosis,Universidad de La Sabana; Universidad de La Sabana,"Introduction: This study aims to develop a neural network (NN) that can serve as a useful tool for early diagnosis of complicated malaria. Materials and methods: In this study, a feedforward NN was developed, incorporating 10 clinical variables in the input nodes, hidden layer, and output node. The data were included in the input layer. Various validation techniques such as V-cross, Random V-cross, Modified Holdout, and Proportional Percentage Sample were applied to train and validate the network using data from 412 patients. Results: The variables included in the analysis were mean arterial pressure, hemoglobin, leukocyte count, platelet count, total bilirubin, presence of dyspnea, vomiting, previous history of malaria, prior use of malaria medication, and persistent fever. The V-cross technique, Random V-cross Validation, Modified Holdout Validation, and Proportional Percentage Sample Validation were utilized to evaluate the performance of a NN in diagnosing malaria. Sensitivity values varied from 13% to 47%, with positive predictive value values ranging from 37% to 88%. Specificity remained consistently high, ranging from 79% to 90%. Discussion: Sensitivity, specificity, and positive predictive values varied across techniques: V-cross and random V-cross validation showed narrower sensitivity ranges with strong specificities, while modified holdout validation exhibited wider sensitivity variability.",RAPID DIAGNOSTIC-TEST,Application of artificial intelligence in the Prediction of Complications in patients with Malaria,Malaria,Supervised learning,ml,Feedforward Neural Network (FFNN) ,Universidad de La Sabana,Universidad de La Sabana (Grant: MED-237-2018).,Colombia,Colombia,Malaria,['Malaria']
2024,treatment monitoring,Taif University,"Rabies remains a significant public health challenge, particularly in areas with substantial dog populations, necessitating a deeper understanding of its transmission dynamics for effective control strategies. This study addressed the complexity of rabies spread by integrating two critical delay effects-vaccination efficacy and incubation duration-into a delay differential equations model, capturing more realistic infection patterns between dogs and humans. To explore the multifaceted drivers of transmission, we applied a novel framework using piecewise derivatives that incorporated singular and non-singular kernels, allowing for nuanced insights into crossover dynamics. The existence and uniqueness of solutions was demonstrated using fixed-point theory within the context of piecewise derivatives and integrals. We employed a piecewise numerical scheme grounded in Newton interpolation polynomials to approximate solutions tailored to handle singular and nonsingular kernels. Additionally, we leveraged artificial neural networks to split the dataset into training, testing, and validation sets, conducting an in-depth analysis across these subsets. This approach aimed to expand our understanding of rabies transmission, illustrating the potential of advanced mathematical tools and machine learning in epidemiological modeling.",TRANSMISSION,Artificial neural networks for stability analysis and simulation of delayed rabies spread models,Rabies,Supervised learning,ml,Artificial Neural Network (ANN),"Taif University, Saudi Arabia(Taif University)","The authors extend their appreciation to Taif University, Saudi Arabia, for supporting this work through project number (TU-DSPP-2024-259) .","Pakistan, Saudi Arabia","Pakistan, Saudi Arabia",Rabies,['Rabies']
