Year,Class,Affiliations,Abstract,Keywords,Funding,Title,llm_ml_classify
2025.0,prognosis,National University of Sciences & Technology - Pakistan; University of Tabuk,"It is quite challenging to discover the imminent infection producing areas to determine the spreading pattern of the epidemic and adopt a counter strategy to combat the outbreak in a timely manner. Therefore, this paper explores the executive perspective to examine the infrastructure systems, such as street networks, to support the continuity of administrative operations essential to controlling the spread of an epidemic. We achieve this by application of optimization-oriented and unsupervised machine learning methods that assemble analysis and decision-making practices into a data-driven model. First, the proposed model analyzes the infection triggering areas at the street-segment level to implement the smart lockdown (street intervention mechanism). The model then suggests to deliberately closing the streets in such a way that only a minimal number of additional streets should be selected to ensure the safety margins against the epidemic. We achieve this by identifying the critical pathways between the affected streets through shortest path analysis. This enables an instinctive assessment of the path of movement between the immediate vicinity of the affected streets. The proposed model thus increases the ability of the managing authorities to implement the resilience plans in a shorter time, so that the unplanned infrastructure can withstand the catastrophic event that it could suffer. We use the efficiency measure to substantiate the proposed model. The evaluations show that the suggestions produced by the proposed model are far more robust and efficient.",DENGUE-FEVER TRANSMISSION; SPREAD; DISEASE,,A novel smart street intervention mechanism using clustering-based path optimization for street networks,YES
2025.0,prognosis,University of Bergen; University of Bergen; University of Bergen; University of Bergen,"Accumulation modelling uses machine learning to discover the dynamics by which systems acquire discrete features over time. Many systems of biomedical interest show such dynamics: from bacteria acquiring resistances to sets of drugs, to patients acquiring symptoms during the course of progressive disease. Existing approaches for accumulation modelling are typically limited either in the number of features they consider or their ability to characterise interactions between these features - a limitation for the large-scale genetic and/or phenotypic datasets often found in modern biomedical applications. Here, we demonstrate how clustering can make such large-scale datasets tractable for powerful accumulation modelling approaches. Clustering resolves issues of sparsity and high dimensionality in datasets, but complicates the intepretation of the inferred dynamics, especially if observations are not independent. Focussing on hypercubic hidden Markov models (HyperHMM), we introduce several approaches for interpreting, estimating, and bounding the results of the dynamics in these cases and discuss how biomedical insight could be gained from such analyses. We demonstrate this 'Cluster-based HyperHMM' (CHyperHMM) pipeline for synthetic data, clinical data on disease progression in severe malaria, and genomic data for anti-microbial resistance evolution in Klebsiella pneumoniae, reflecting two global health threats.",INFERENCE; NUMBER,"Trond Mohn Foundation Project HyperEvol through the Centre for Antimicrobial Resistance in Western Norway (CAMRIA) [TMS2021TMT09, TMS2020TMT11]; European Research Council (ERC) under European Union [805046]",Clustering Large-Scale Biomedical Data to Model Dynamic Accumulation Processes in Disease Progression and Anti-Microbial Resistance Evolution,YES
2025.0,diagnosis,University of Central Venezuela; Simon Bolivar University; Venezuelan Institute Science Research,"Accurate malaria diagnosis with precise identification of Plasmodium species is crucial for an effective treatment. While microscopy is still the gold standard in malaria diagnosis, it relies heavily on trained personnel. Artificial intelligence (AI) advances, particularly convolutional neural networks (CNNs), have significantly improved diagnostic capabilities and accuracy by enabling the automated analysis of medical images. Previous models efficiently detected malaria parasites in red blood cells but had difficulty differentiating between species. We propose a CNN-based model for classifying cells infected by P. falciparum, P. vivax, and uninfected white blood cells from thick blood smears. Our best-performing model utilizes a seven-channel input and correctly predicted 12,876 out of 12,954 cases. We also generated a cross-validation confusion matrix that showed the results of five iterations, achieving 63,654 out of 64,126 true predictions. The model's accuracy reached 99.51%, a precision of 99.26%, a recall of 99.26%, a specificity of 99.63%, an F1 score of 99.26%, and a loss of 2.3%. We are now developing a system based on real-world quality images to create a comprehensive detection tool for remote regions where trained microscopists are unavailable.",,,Deep learning-based malaria parasite detection: convolutional neural networks model for accurate species identification of Plasmodium falciparum and Plasmodium vivax,YES
2025.0,prognosis,Central South University; King Saud University; Ural Federal University; Karpagam Academy of Higher Education (KAHE); Ministry of Education of Azerbaijan Republic; Western Caspian University,"This research conducts a computational analysis of a stochastic scabies model using the Legendre spectral collocation technique (LSCM). By including stochasticity into the model via the suggested stochastic differential equations, we are confiscating the random fluctuations required for disease growth and spread. The stability, convergence, and accurate characteristics of the LSCM are meticulously examined, showcasing its efficacy in addressing complicated epidemiological problems. Furthermore, this mathematical model is used to explain the transmission dynamics of scabies infection in the population with standard incident rate. The dynamics of scabies are illustrated schematically, and then an ordinary differential equation (ODE) is derived using the law of mass action. Positiveness, boundedness, and equilibrium points have been analyzed. Next-generation techniques are used to determine the reproduction number. Sensitivity analysis is also accomplished to investigate the impact of various parameters of reproduction number. Disease-free equilibrium exists asymptotically in local whenever R-0<1. The accuracy and effectiveness of the constructed stochastic computing using neural networks are shown by a comparison of the results derived from the dataset utilizing the spectral collocation approach. Our research demonstrates that mitigating the severe impacts of scabies requires prompt detection and timely intervention. Additionally, our mathematical model serves as a valuable tool for refining disease management strategies. This study enhances our understanding of scabies dynamics, offering actionable insights into public health planning and epidemic control.",MALARIA,"King Saud University [RSPD2025R576]; King Saud University, Riyadh, Saudi Arabia",Modeling scabies transmission dynamics: a stochastic approach with spectral collocation and neural network insights,YES
2025.0,prognosis,Seoul National University (SNU); Kangwon National University; Seoul National University (SNU); Seoul National University (SNU); Yonsei University; Yonsei University Health System; Seoul National University (SNU); Chungbuk National University,"Since a resurgence occurred in 1993, malaria has remained an endemic disease in the Republic of Korea (ROK). A major challenge is the inaccessibility of current vector mosquito abundance data due to a 2-week reporting delay, which limits timely implementation of control measures. We aimed to nowcast mosquito abundance and assess its utility by evaluating the predictive value of mosquito abundance for malaria epidemic peaks. We used machine learning models to nowcast mosquito abundance, employing gradient boosting models (GBMs), extreme gradient boosting (XGB), and an ensemble model combining both. Various meteorological factors served as predictors. The models were trained with data from mosquito collection sites between 2009 and 2021 and tested with data from 2022. To evaluate the utility of nowcasting, we calculated the effective reproduction number (Rt), which can indicate malaria epidemic peaks. Generalized linear models (GLMs) were then used to assess the impact of vector mosquito abundance on Rt. The ensemble models demonstrated the best performance in nowcasting mosquito abundance, with a root mean square error (RMSE) of 0.90 and R-squared value (R-2) value of 0.85. The GBM model showed an RMSE of 0.91 and R-2 of 0.84, while the XGB model had an RMSE of 0.92 and R-2 of 0.85. Additionally, the R-2 of the GLMs predicting Rt using mosquito abundance 2 weeks in advance was >0.72 for all provinces. The mosquito abundance coefficients were also significant. We constructed reliable models to nowcast mosquito abundance. These outcomes could potentially be incorporated into a malaria early warning system. Our study provides evidence to support the development of malaria management strategies in regions where malaria remains a public health challenge.",DYNAMICS,Korea Disease Control and Prevention Agency,Nowcasting Vector Mosquito Abundance and Determining Its Association With Malaria Epidemics in South Korea,YES
2025.0,diagnosis,Kerman University of Medical Sciences; Kerman University of Medical Sciences; Kerman University of Medical Sciences; Graduate University of Advanced Technology,"Cutaneous leishmaniasis (CL) remains a significant global public health disease, with the critical distinction and exact detection between responsive and unresponsive cases dictating treatment strategies and patient outcomes. However, image-based methods for differentiating these groups are unexplored. This study addresses this gap by developing a deep learning (DL) model utilizing transfer learning to automatically identify responses in CL lesions. A dataset of 102 lesion images (51 per class; equally distributed across train, test, and validation sets) is employed. The DenseNet161, VGG16, and ResNet18 networks, pretrained on a massive image dataset, are fine-tuned for our specific task. The models achieved an accuracy of 76.47%, 73.53%, and 55.88% on the test data, respectively, with a sensitivity of 80%, 75%, and 100% and specificity of 73.68%, 72.22%, and 53.12%, individually. Transfer learning successfully addressed the limited sample size challenge, demonstrating the models' potential for real-world application. This work underscores the significance of automated response detection in CL, paving the way for treatment and improved patient outcomes. While acknowledging limitations like the sample size, the need for collaborative efforts is emphasized to expand datasets and further refine the model. This approach stands as a beacon of hope in the contest against CL, illuminating the path toward a future where data-driven diagnostics guide effective treatment and alleviate the suffering of countless patients. Moreover, the study could be a turning point in eliminating this important global public health and widespread disease.",IRAN,Kerman University of Medical Sciences,Unlocking Responsive and Unresponsive Signatures: A Transfer Learning Approach for Automated Classification in Cutaneous Leishmaniasis Lesions,YES
2025.0,diagnosis,Chaim Sheba Medical Center; Tel Aviv University; Chaim Sheba Medical Center; Chaim Sheba Medical Center; Chaim Sheba Medical Center,"Background Febrile illness in returned travellers presents a diagnostic challenge in non-endemic settings. Chat generative pretrained transformer (ChatGPT) has the potential to assist in medical tasks, yet its diagnostic performance in clinical settings has rarely been evaluated. We conducted a validation assessment of ChatGPT-4o's performance in the workup of fever in returning travellers.Methods We retrieved the medical records of returning travellers hospitalized with fever during 2009-2024. Their clinical scenarios at time of presentation to the emergency department were prompted to ChatGPT-4o, using a detailed uniform format. The model was further prompted with four consistent questions concerning the differential diagnosis and recommended workup. To avoid training, we kept the model blinded to the final diagnosis. Our primary outcome was ChatGPT-4o's success rates in predicting the final diagnosis when requested to specify the top three differential diagnoses. Secondary outcomes were success rates when prompted to specify the single most likely diagnosis, and all necessary diagnostics. We also assessed ChatGPT-4o as a predicting tool for malaria and qualitatively evaluated its failures.Results ChatGPT-4o predicted the final diagnosis in 68% [95% confidence interval (CI) 59-77%], 78% (95% CI 69-85%) and 83% (95% CI 74-89%) of the 114 cases, when prompted to specify the most likely diagnosis, top three diagnoses and all possible diagnoses, respectively. ChatGPT-4o showed a sensitivity of 100% (95% CI 93-100%) and a specificity of 94% (95% CI 85-98%) for predicting malaria. The model failed to provide the final diagnosis in 18% (20/114) of cases, primarily by failing to predict globally endemic infections (16/21, 76%).Conclusions ChatGPT-4o demonstrated high diagnostic accuracy when prompted with real-life scenarios of febrile returning travellers presenting to the emergency department, especially for malaria. Model training is expected to yield an improved performance and facilitate diagnostic decision-making in the field.",EPIDEMIOLOGY,,Performance of ChatGPT-4o in the diagnostic workup of fever among returning travellers requiring hospitalization: a validation study,NO
2025.0,diagnosis,University of the Philippines System; University of the Philippines Manila; University of the Philippines System; University of the Philippines Manila; University of the Philippines System; University of the Philippines Manila; Philippine Department Health,"Background: Diagnosis of soil-transmitted helminthiasis and schistosomiasis for surveillance relies on microscopic detection of ova in Kato-Katz (KK) prepared slides. Artificial intelligence (AI)-based platforms for parasitic eggs may be developed using a robust image set with defined labels by reference microscopists. This study aimed to determine interobserver variability among reference microscopists in identifying parasite ova. Methods: Images of parasite ova taken from KK prepared slides were labelled according to species by two reference microscopists (M1 and M2). A third reference microscopist (M3) labelled images when the first two did not agree. Frequency, percent agreement, kappa statistics and variability score (VS) were generated for analysis. Results: M1 and M2 agreed on 89.24% of the labelled images (kappa=0.86, p<0.001). M3 had agreement with M1 and M2 (kappa=0.30, p<0.001 and kappa=0.28, p<0.001), resolving 89.29% of disagreement between them. The labelling of Schistosoma japonicum had the highest VS (kappa=0.487, p=0.101) among the targeted ova. Reference microscopists were able to reliably reach consensus in 99.0% of the dataset. Conclusions: Training AI using this image set may provide more objective and reliable readings compared with that of reference microscopists.",SOIL-TRANSMITTED HELMINTH; INFECTIONS; DIAGNOSIS,National Institutes of Health; Agusan del Sur Provincial Health Office; Agusan del Sur,Variability of interobserver interpretation of selected helminth ova in the development of a training image set,NO
2024.0,prognosis,University of Tulsa; University of Wisconsin System; Oklahoma State University System; Oklahoma State University - Stillwater; Istinye University,"During a pandemic, medical specialists have substantial challenges in discovering and validating new disease risk factors and designing effective treatment strategies. Traditionally, this approach entails several clinical studies and trials that might last several years, during which strict preventive measures are enforced to manage the outbreak and limit the death toll. Advanced data analytics technologies, on the other hand, could be utilized to monitor and expedite the procedure. This research integrates evolutionary search algorithms, Bayesian belief networks, and innovative interpretation techniques to provide a comprehensive exploratory-descriptive-explanatory machine learning methodology to assist clinical decision-makers in responding promptly to pandemic scenarios. The proposed approach is illustrated through a case study in which the survival of COVID-19 patients is determined using inpatient and emergency department (ED) encounters from a real-world electronic health record database. Following an exploratory phase in which genetic algorithms are used to identify a set of the most critical chronic risk factors and their validation using descriptive tools based on the concept of Bayesian Belief Nets, the framework develops and trains a probabilistic graphical model to explain and predict patient survival (with an AUC of 0.92). Finally, a publicly available online, probabilistic decision support inference simulator was constructed to facilitate what-if analysis and aid general users and healthcare professionals in interpreting model findings. The results widely corroborate intensive and expensive clinical trial research assessments.",FEATURE-SELECTION; ZIKA VIRUS; COVID-19; METAANALYSIS; PERFORMANCE; VALIDATION; MORTALITY; INFLUENZA; OUTCOMES; DEATH,,A Bayesian belief network-based analytics methodology for early-stage risk detection of novel diseases,YES
2024.0,treatment monitoring,Ruprecht Karls University Heidelberg,"Proteases are key enzymes in viral replication, and interfering with these targets is the basis for therapeutic interventions. We previously introduced a hypothesis about conformational selection in the protease of dengue virus and related flaviviruses, based on conformational plasticity noted in X-ray structures. The present work presents the first functional evidence for alternate recognition by the dengue protease, in a mechanism based primarily on conformational selection rather than induced-fit. Recognition of distinct substrates and inhibitors in proteolytic and binding assays varies to a different extent, depending on factors reported to influence the protease structure. The pH, salinity, buffer type, and temperature cause a change in binding, proteolysis, or inhibition behavior. Using representative inhibitors with distinct structural scaffolds, we identify two contrasting binding profiles to dengue protease. Noticeable effects are observed in the binding assay upon inclusion of a non-ionic detergent in comparison to the proteolytic assay. The findings highlight the impact of the selection of testing conditions on the observed ligand affinity or inhibitory potency. From a broader scope, the dengue protease presents an example, where the induced-fit paradigm appears insufficient to explain binding events with the biological target. Furthermore, this protein reveals the complexity of comparing or combining biochemical assay data obtained under different conditions. This can be particularly critical for artificial intelligence (AI) approaches in drug discovery that rely on large datasets of compounds activity, compiled from different sources using non-identical testing procedures. In such cases, mismatched results will compromise the model quality and its predictive power. (c) 2024 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",VIRUS NS2B-NS3 PROTEASE; ZIKA VIRUS; CONFORMATIONAL SELECTION; CRYSTAL-STRUCTURE; INHIBITORS; FLUORESCENCE; ACTIVATION; MECHANISMS; DISCOVERY; MODE,Volkswagen-Stiftung [9A836]; Deutsche Forschungsgemeinschaft [KL 1356/3]; German Center for Infection Research (DZIF) [TTU 01.911],Alternate recognition by dengue protease: Proteolytic and binding assays provide functional evidence beyond an induced-fit,NO
